t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,875987.7386392681,-816937.5089536397,-57.23485619962939,23848975063.27132,1648578758076011.8,302723787398094.06,1.5646048603623516e+20,317588618106.734,3745421867361499.0,1.564604860600854e+20,1648896346694117.5,4048145654759592.5
190080.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
314496.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
463795.19999999995,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
642954.24,607037881.6647938,-62263977478.18579,-35142615.52549819,1160935961191361.2,864391493490468.1,1486277226645545.8,1.5645058391900537e+20,36250393619.1738,54116931069653.984,1.5645174485496614e+20,864427743884090.5,1540394157715204.2
857945.088,142607543.50684315,-36405879428.00366,-34286968.88813311,1159759448600904.5,743441208316850.9,1018048330520020.4,1.5644316379424005e+20,31178044488.544857,37068280343951.81,1.5644432355369012e+20,743472386361339.0,1055116610863973.6
1115934.1056,27693606.806914292,-27191243424.527245,-33754730.271996714,1158573013351749.8,694668837745601.6,895952847046996.1,1.5643624164928107e+20,29132654589.839085,32622659746787.11,1.5643740022229487e+20,694697970400191.8,928575506793784.0
1425520.9267199999,6872279.138265524,-22174823529.385853,-33485706.82354849,1157342149528449.2,661454025242025.1,843109681040183.6,1.5642941862648532e+20,27739709338.407375,30698585401519.273,1.5643057596863522e+20,661481764951364.1,873808266441705.5
1797025.1120639998,2624308.9456730075,-18891561445.094776,-33364000.163671147,1156047733002852.8,633687472301368.2,805532502261225.8,1.5642243702906624e+20,26575250316.813057,29330361175156.598,1.564235930767983e+20,633714047551683.9,834862863436384.2
2242830.1344767995,1182315.8477031614,-16519137444.263948,-33303421.424175885,1154677003113112.2,608645799302691.5,772882428711182.4,1.5641511020017048e+20,25525065869.94603,28141537756399.348,1.5641626487717472e+20,608671324368562.6,801023966467583.2
2777796.161372159,401338.43732355937,-14698994712.048878,-33265771.249053374,1153220548398056.8,585285725568243.6,742742481553256.5,1.5640728527068054e+20,24545403444.16776,27044110461765.008,1.5640843849122844e+20,585310270971688.2,769786592015022.4
3419755.393646591,-104958.58596168825,-13247069096.820824,-33248312.54137661,1151671136565785.8,563080113833757.4,714233214500194.6,1.563988205007045e+20,23614156235.508064,26006057757264.973,1.5639997217184118e+20,563103727989994.5,740239272257459.6
4190106.472375909,-449623.2428786757,-12058008934.50358,-33265161.78261722,1150023227970673.5,541720109587846.6,686896224769677.1,1.5638957148155406e+20,22718371666.71363,25010688733975.156,1.5639072150478225e+20,541742827959513.9,711906913503653.1
