t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
8640.000000000002,-163419129876411.12,-3936467064144302.0,-1133182118876.7346,3.7849528578373755e+18,5.1800884589348685e+17,3.503103061923767e+17,1.163681101078261e+20,8236395745076.892,432129641134557.7,1.2015306296566486e+20,5.1801708228923245e+17,3.507424358335116e+17
15840.000000000004,-125228878644278.48,-2629741350950398.0,-950554075256.4169,2.6739318216694636e+18,3.7502605382001434e+17,2.7458115460827296e+17,9.784344513039709e+19,6049406380282.332,361815952616144.6,1.0051737695206588e+20,3.7503210322639514e+17,2.7494297056089018e+17
24480.000000000007,-84000137226096.14,-1706657116963324.8,-837939860518.3528,1.890065994198336e+18,2.654541454881958e+17,1.991217924996024e+17,8.332503701750963e+19,4346867221223.801,281569028196180.94,8.521510301170872e+19,2.654584923554174e+17,1.9940336152779866e+17
34848.00000000001,-55110392568208.41,-1104259725889463.4,-724489650054.1674,1.3511765083110136e+18,1.8766875221018403e+17,1.4403596817732426e+17,7.19633454098907e+19,3123836252947.0347,219545675815081.75,7.331452191820285e+19,1.8767187604643754e+17,1.4425551385313917e+17
47289.600000000006,-35944865995491.11,-719152923053584.5,-602679172174.4104,9.798051244832984e+17,1.3354142689588346e+17,1.0527433225957798e+17,6.302244830416511e+19,2262349968947.3984,173512954165210.84,6.400225342864874e+19,1.335436892458528e+17,1.0544784521374336e+17
62219.520000000004,-23494712457406.434,-474007262294516.9,-483195916473.5358,7.217264640776017e+17,9.630210389504982e+16,7.82744040589706e+16,5.590868796823513e+19,1661710624386.4634,139561905135214.36,5.663041443231277e+19,9.630376560567458e+16,7.841396596410595e+16
80135.424,-15489155973936.844,-317628372250131.4,-375927501052.40704,5.4032634533943955e+17,7.071509186474585e+16,5.943081811578447e+16,5.015969072299205e+19,1242942520829.4766,114336940340078.44,5.07000170683312e+19,7.0716334807266696e+16,5.954515505612481e+16
101634.5088,-10340288981113.562,-217006879080693.1,-285663386008.47266,4.10949645189307e+17,5.297445083573456e+16,4.610979815226072e+16,4.542696992919019e+19,948004043509.6461,95263308816927.92,4.583791957437943e+19,5.297539883977806e+16,4.620506146107753e+16
127433.41055999999,-6996664267815.294,-151262910386365.97,-213018259202.81128,3.170801266295505e+17,4.045797386184642e+16,3.648994252912615e+16,4.145568889777056e+19,736506750538.3677,80490465104159.2,4.1772769024400245e+19,4.045871036859699e+16,3.657043299423039e+16
158392.092672,-4790636758399.229,-107431238238642.83,-156293269126.5991,2.477264270148225e+17,3.142905381935079e+16,2.9360607629467044e+16,3.806342368928901e+19,581437289628.4734,68745705170590.85,3.831115011630411e+19,3.1429635256640532e+16,2.9429353334637748e+16
195542.5112064,-3308867370313.7383,-77554927237243.22,-112902898997.57855,1.955859185531729e+17,2.4763011465186204e+16,2.3935311140012556e+16,3.512066842084076e+19,465120342539.65344,59175471721261.83,3.531625433939401e+19,2.47634765855288e+16,2.3994486611733812e+16
240123.01344768,-2297162797318.8555,-56751706823628.17,-80187502449.11462,1.5577296306072656e+17,1.9734652059754644e+16,1.97059648642897e+16,3.2535004930406486e+19,376035158233.51654,51211554146023.305,3.2690777893467607e+19,1.9735028094912916e+16,1.975717641843573e+16
293619.616137216,-1597574026952.7512,-41989953062085.84,-55781667298.78034,1.2496868578020656e+17,1.587102687990153e+16,1.6341068737323918e+16,3.0239416949310173e+19,306583834274.6642,44472771970805.58,3.0364385635090862e+19,1.587133346373582e+16,1.6385541509294758e+16
357815.53936465917,-1109745626355.9626,-31347194202773.906,-37731370350.69514,1.008715354018986e+17,1.2856787017754274e+16,1.3619713228611828e+16,2.8184210560625476e+19,251642760323.98807,38698564552556.53,2.828508209602733e+19,1.2857038660514606e+16,1.3658411793164404e+16
434850.647237591,-768136400152.3766,-23572957422202.93,-24490184982.708035,8.184934726460174e+16,1.0475900409555788e+16,1.1390617865967316e+16,2.6331630831733866e+19,207662511006.17584,33706196357539.82,2.641348017899885e+19,1.0476108072066802e+16,1.1424324062324864e+16
527292.7766851091,-528768354766.99475,-17832830171488.793,-14866139283.366709,6.671970136537554e+16,8576286384745819.0,9547123249816880.0,2.465231866894079e+19,172116873249.40527,29363664698868.586,2.4719038370306314e+19,8576458501619059.0,9576486914515770.0
638223.332022131,-361441149685.3245,-13556980677920.234,-7954728989.0264225,5.460965496706833e+16,7048195548330583.0,8011845266743719.0,2.3122963945782403e+19,143163135476.63962,25572491248843.973,2.3177573600749572e+19,7048338711466060.0,8037417757992570.0
771339.9984265572,-245041663069.63657,-10348442597626.29,-3074687310.0042286,4.4864268409730536e+16,5810701990110403.0,6727081522262184.0,2.1724722739529417e+19,119428094188.03857,22256640288720.918,2.176958700793961e+19,5810821418204589.0,6749338162550916.0
931079.9981118686,-164625426110.98273,-7926010395187.688,286551679.7687298,3.6985448438324936e+16,4803022342368283.0,5648670859460323.0,2.0442124370564526e+19,99869449306.65657,19355285418608.902,2.0479109819002716e+19,4803122211817596.0,5668026144878942.0
1122767.9977342424,-109537717493.31017,-6087667865230.282,2515894614.6584263,3.059002988001078e+16,3978773040712532.5,4741976154925340.0,1.9262297432626135e+19,83683430914.88225,16818062553928.582,1.9292887462506254e+19,3978856724143449.5,4758794217479263.0
1352793.5972810907,-72163549848.7693,-4686556066215.116,3906954609.727947,2.538037999899023e+16,3302069285089539.0,3979211956664003.5,1.8174408166958369e+19,70241609616.37117,14601975437440.445,1.8199788546957513e+19,3302139526699163.5,3993813932101452.5
1628824.3167373086,-47070400109.19032,-3614824382766.532,4683601209.721389,2.1123368533624376e+16,2744813734830740.0,3337647001665889.0,1.7169243662132832e+19,59046688731.3483,12669418086182.742,1.7190367030666562e+19,2744872781519478.5,3350316419752068.5
1960061.1800847703,-30404269492.013348,-2792571057227.2686,5016722679.03493,1.7635063568105266e+16,2284775291768016.0,2798386086765373.0,1.6238896303966446e+19,49700985568.79102,10986950038933.77,1.6256531367534526e+19,2284824992753589.5,2809373036804314.0
2357545.4161017244,-19454722404.552128,-2160146714722.361,5036115408.57064,1.476943126162647e+16,1904204903379851.8,2345537628707555.0,1.5376520745982022e+19,41883590388.111855,9524564896461.436,1.5391290177243544e+19,1904246786970243.0,2355062193604021.5
2834526.4993220693,-12336677766.603529,-1672724207562.2551,4839306639.27181,1.240988693830348e+16,1588823132776491.0,1965635970927351.8,1.4576144053126775e+19,35333564476.592094,8255263366288.18,1.4588553940065374e+19,1588858466340970.0,1973891234293642.8
3406903.799186483,-7755746774.372558,-1296421129342.038,4498876357.824682,1.0462908384609746e+16,1327068810683944.0,1647228872053482.0,1.3832515716566114e+19,29837397155.92745,7154795827116.861,1.3842978624950725e+19,1327098648081099.0,1654383667880599.8
4093756.5590237794,-4835202481.7007065,-1005501045720.0271,4069154562.340934,8853160554639053.0,1109533307042530.6,1380569742561914.8,1.3140988174852817e+19,25219500816.76824,6201483640411.187,1.3149841335407487e+19,1109558526543349.0,1386771226202325.0
