t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816564.9641212411,-3019405.809204041,23816487935.484894,1648578599234380.0,292909245177804.7,1.5623840701749605e+20,317588587506.86566,3623981510652604.0,1.562384070413133e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797203.1490238048,-3013121.7400950054,23816466003.058067,1209407435033074.5,302713270605030.0,1.5623686551681915e+20,232984948867.77878,3745073999769276.5,1.562368655406357e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780329.1056349551,-3007568.86707809,23816518976.719948,903779288658016.1,307668205339110.5,1.5623707472993223e+20,174107555381.89212,3806303627628003.0,1.562370747537485e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-764991.2721984107,-3002488.564439572,23816560985.247494,687259611018336.5,309215251331590.3,1.562372507205306e+20,132396363279.22656,3825475973054695.0,1.5623725074434746e+20,687392007381616.6,4134691224386300.5
642954.24,-18883462619.367794,-62089279653.52777,-1315033982180.6465,1157274836616127.2,779960802154053.0,642192515286848.4,1.5593856441044654e+20,32709583911.60949,23382961455669.24,1.5593972168528223e+20,779993511737966.4,665575476742517.6
857945.088,-10079867830.67535,-36228625553.621765,-970711664871.5985,1154385029391466.5,684176490616679.4,438006796853668.7,1.556922264337477e+20,28692632080.813988,15948338499799.164,1.5569338081877918e+20,684205183248761.1,453955135353469.06
1115934.1056,-9150715945.164118,-27010875953.87381,-770252916498.2358,1151634959500155.0,645045356500188.0,405071740163690.0,1.5546691953895722e+20,27051571260.571293,14749136713538.396,1.5546807117391918e+20,645072408071450.4,419820876877229.1
1425520.9267199999,-8704196031.666666,-21991388202.989666,-638073970787.9075,1148887036467097.0,615390009745348.1,385820806095096.9,1.5524814405861278e+20,25807901002.265892,14048188915072.107,1.5524929294565097e+20,615415817646351.2,399868995010168.94
1797025.1120639998,-8334987988.927308,-18704975248.373447,-543100617176.6394,1146065372885017.2,589734876846662.1,369566085292602.8,1.5502774837940486e+20,24731989598.31659,13456336477985.389,1.550288944447767e+20,589759608836260.5,383022421770588.44
2242830.1344767995,-8002033647.657571,-16329227171.11898,-470598186212.5879,1143120921457276.5,566425954057136.2,354862223826043.75,1.5480046047934136e+20,23754472313.80421,12920952482114.656,1.5480160360026276e+20,566449708529450.0,367783176308158.7
2777796.161372159,-7691924216.519574,-14505513248.153543,-412830833573.61694,1140017603211095.8,544639045243010.3,341148072921814.25,1.5456237309758944e+20,22840784446.898174,12421604889791.64,1.5456351311519148e+20,544661886027457.8,353569677811606.94
3419755.393646591,-7397533944.44897,-13049699275.74371,-365370278838.10474,1136726166753087.0,523909614259952.8,328117542920097.56,1.5431023176533344e+20,21971444526.30644,11947148643178.404,1.54311368491502e+20,523931585704479.56,340064691563276.0
4190106.472375909,-7114624723.014567,-11856360666.034727,-325489757688.6226,1133221218379612.0,503957345450730.0,315587524802509.44,1.5404107328021453e+20,21134696822.15584,11490916543402.459,1.5404220650143433e+20,503978480147551.7,327078441345911.8
