t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816564.9641212411,-3019405.809204041,23816487935.484894,1648578599234380.0,292909245177804.7,1.5623840701749605e+20,317588587506.86566,3623981510652604.0,1.562384070413133e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797203.1490238048,-3013121.7400950054,23816466003.058067,1209407435033074.5,302713270605030.0,1.5623686551681915e+20,232984948867.77878,3745073999769276.5,1.562368655406357e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780329.1056349551,-3007568.86707809,23816518976.719948,903779288658016.1,307668205339110.5,1.5623707472993223e+20,174107555381.89212,3806303627628003.0,1.562370747537485e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-764991.2721984107,-3002488.564439572,23816560985.247494,687259611018336.5,309215251331590.3,1.562372507205306e+20,132396363279.22656,3825475973054695.0,1.5623725074434746e+20,687392007381616.6,4134691224386300.5
642954.24,-135089674406.74261,-234221035358.92468,-6151756571147.918,7004369779436278.0,3617999853643045.5,2273467848456494.5,1.5495212369107888e+20,117476866802.4199,31125470526737.207,1.5495912806085607e+20,3618117330509843.0,2304593318983235.0
857945.088,-114397239454.41408,-130621232970.58618,-3618082752867.6416,6937622132584000.0,3149753714340747.0,1966172439436039.5,1.5409838432173153e+20,102272861462.03914,26918381989965.652,1.5410532194386428e+20,3149855987202212.0,1993090821426004.0
1115934.1056,-103152009937.0847,-100776520647.19046,-2649591219508.7886,6879754184718086.0,2846317529515688.5,1774466730659143.0,1.5335281997150355e+20,92420254057.23625,24293795010959.836,1.5335969972568995e+20,2846409949769747.5,1798760525670104.2
1425520.9267199999,-94769209905.54605,-85871343142.60577,-2117678117368.2285,6825402410423604.0,2617337738295675.5,1630794936942672.0,1.5263582957540652e+20,84985254208.8931,22326825191154.977,1.5264265497781833e+20,2617422723549890.5,1653121762133830.5
1797025.1120639998,-87896183172.54578,-76894832733.3342,-1768150316935.4792,6772307212941642.0,2428685546268709.5,1512779200484138.0,1.5191387479799074e+20,78859696086.64076,20711104398558.23,1.5192064710520308e+20,2428764405964798.5,1533490304882696.0
2242830.1344767995,-81966340147.41087,-71128682314.868,-1514588511995.497,6719214438609391.0,2265513661677708.5,1410861441789265.0,1.5116735146157952e+20,73561486440.87679,19315775979999.25,1.5117407067601836e+20,2265587223164148.0,1430177217769267.0
2777796.161372159,-76687783530.60822,-67505169492.131836,-1319107990369.069,6665285993240181.0,2120042577766580.5,1320085349733305.2,1.50381910658808e+20,68838023803.6536,18072984634941.773,1.5038857594480322e+20,2120111415790383.0,1338158334368248.2
3419755.393646591,-71890781837.201,-65604544085.14056,-1162191111367.6677,6609872029445248.0,1987709230333457.2,1237559352242894.0,1.4954518551264464e+20,64541144962.06965,16943142756055.883,1.495517953846747e+20,1987773771478425.2,1254502494998951.0
4190106.472375909,-67468707903.05913,-65384252706.41713,-1032617133406.183,6552397059030330.0,1865632273348153.5,1161463367062661.5,1.486451132313002e+20,60577292283.27178,15901332168822.44,1.4865166562836054e+20,1865692850640436.8,1177364699231483.0
