t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
1398749.1679162062,-129989925.33634394,832685464.9116038,6045366605340586.0,11854583162757.473,8718875029076.8955,3.325822150000921e+18,433932306.5399118,344792869423.09375,3.331867516614546e+18,2.5119574496983024e+16,-6754690780557.563
1588624.0847078268,-173230211.35884038,821580627.3805778,6143907884708508.0,15767906151115.3,11630755468275.21,3.6572744663699855e+18,577895718.2854925,462513863584.81366,3.6634183742649697e+18,3.3599678036241144e+16,-9311488864920.13
1797486.4931786098,-224361524.82116416,810871279.5801598,6239680158976827.0,20404223614968.008,15086059356467.277,4.01103104372269e+18,748763740.3333027,603301102860.7998,4.017270723896197e+18,4.376886299193059e+16,-12506495119040.912
2027235.1424964708,-283616464.8735372,800549933.4902041,6333288595213145.0,25792136599684.55,19106154894961.81,4.38896029174031e+18,947699935.6010013,768422906476.3064,4.395293580354182e+18,5.574269958339066e+16,-16409834935928.07
2279958.6567461183,-351142200.4060302,790604157.9009261,6425273564075683.0,31953497710157.613,23707188512457.887,4.793031261610058e+18,1175628830.1059508,958973885584.3218,4.799456535197651e+18,6.9628125940199e+16,-21080625412169.414
2557954.5224207304,-427016934.87132394,781009657.7296932,6516121855109871.0,38904644860170.83,28901062078132.387,5.22530894522362e+18,1433280068.063802,1175910953379.8,5.23182506710728e+18,8.552548171199022e+16,-26564040889875.69
2863749.9746628036,-511262468.85315216,771728347.1684023,6606272312813144.0,46657341294042.17,34696181323514.83,5.687947788264762e+18,1721222173.5172203,1420081478734.591,5.694554060611012e+18,1.0353017652595526e+17,-32889158424838.098
3200124.972129084,-603851919.0729767,762709935.5808365,6696118054572692.0,55219337939307.95,41097910763662.94,6.183184072930435e+18,2039882792.7822938,1692240847319.9504,6.189880191022324e+18,1.2373381935495987e+17,-40067601070917.016
3570137.469341993,-704712363.2107543,753895550.3099215,6786006828534417.0,64594529136922.125,48108713864318.54,6.713327685774798e+18,2389554269.0678134,1993058305366.2783,6.720113692648746e+18,1.4622471892990832e+17,-48092885501250.78
3977151.2162761926,-813722756.9245055,745222063.2757372,6876240552470350.0,74782720055737.92,55727993315563.75,7.280753659817819e+18,2770385103.821462,2323111299394.856,7.287629900422776e+18,1.710877419223168e+17,-56940303802782.36
4424866.3379038125,-930707948.1942575,736626074.2578349,6967074649825030.0,85779063664961.17,63951676833817.99,7.88789379139269e+18,3182359294.672088,2682869692682.1484,7.89486086610267e+18,1.9840358275155552e+17,-66567139865759.81
4917352.971694194,-1055429936.3050066,728046878.2477018,7058717485077002.0,97573254119018.17,72771615497269.2,8.537228602635993e+18,3625266598.3193455,3072672074902.9844,8.544287320189584e+18,2.2824755328430074e+17,-76913048208003.11
5459088.268863614,-1187577717.1227708,719428134.2504914,7151330005956475.0,110148581522444.03,82174875224325.98,9.231279960458918e+18,4098667440.048647,3492696945425.999,9.23843129054231e+18,2.606880397751027e+17,-87900490012633.88
6054997.095749975,-1326757106.2476091,710718289.8666403,7245025615156489.0,123480960151189.39,92143007079507.48,9.972604766800968e+18,4601856471.349746,3942931804659.539,9.979849792503108e+18,2.9578479861706285e+17,-99435223476863.0
6710496.805324974,-1472481876.2840147,701870057.2041725,7339870293227726.0,137538040588326.8,102651380449061.9,1.0763790283496163e+19,5133828744.746537,4423143199049.814,1.0771130153886472e+19,3.335872740329602e+17,-111406959321589.6
7431546.485857472,-1624167414.149491,692839363.0835422,7435883043097504.0,152278508406013.8,113668656869137.14,1.1607451818571586e+19,5693252220.670715,4932850613422.308,1.1614887701722931e+19,3.7413312322378176e+17,-123690397623493.31
8224701.13444322,-1781127928.771209,683584213.6366932,7533036790949912.0,167651660349760.66,125156473140327.11,1.250623364606198e+19,6278449930.135389,5471306854397.81,1.2513766682972555e+19,4.1744713009266266e+17,-136146940048462.72
9097171.247887542,-1942578034.2885597,674063841.7236838,7631259930486477.0,183597334665372.84,137069391300216.67,1.3462814126689436e+19,6887394632.848147,6037487259416.973,1.3470445386751857e+19,4.6354067790274797e+17,-148627408457512.5
10056888.372676298,-2107639299.671104,664238375.9262693,7730438719968322.0,200046255220002.72,149355160039150.94,1.4479916015285987e+19,7517718231.404667,6630089696033.283,1.4487646454150668e+19,5.124119324465263e+17,-160976089395102.34
