t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
8640.000000000002,-6452966775542.527,-1893381151872279.2,-451680657558.616,1.6168493674135e+18,1.781812884360995e+17,1.5077239889492643e+17,1.381309577348087e+20,3614914432804.572,625976606606718.4,1.3974780710222322e+20,1.7818490335053235e+17,1.5139837550153338e+17
15840.000000000004,-8010200447967.53,-1323102543758164.8,-339510860351.395,1.2745436683293253e+18,1.7037624906847798e+17,1.7191813041050368e+17,1.2888864839180352e+20,3484059947080.837,759187219827238.8,1.301631920601311e+20,1.70379733128425e+17,1.726773176303312e+17
24480.000000000007,-7129458810718.767,-1026292275304189.0,-282249596116.64545,1.0401614457900783e+18,1.5232920316893098e+17,1.6493450788644934e+17,1.2022980292686425e+20,3138907668581.9697,771906134606848.0,1.2126996437265446e+20,1.523323420766e+17,1.6570641402105645e+17
34848.00000000001,-5667007282270.255,-814212663952908.2,-245968940641.6313,8.576906295805234e+17,1.3241324422568707e+17,1.4916300579416458e+17,1.1195708754279165e+20,2750659728400.774,737971995233252.4,1.1281477817237301e+20,1.3241599488541578e+17,1.499009777893981e+17
47289.600000000006,-4250027731907.797,-647789115434342.4,-219590154871.28415,7.080633996372163e+17,1.128007040179179e+17,1.3088410277156626e+17,1.0404142087869407e+20,2363882743528.7026,684088537827714.6,1.0474948427833123e+20,1.1280306790066157e+17,1.3156819130939402e+17
62219.520000000004,-3044561496745.1733,-512728482095339.5,-197934601780.576,5.827929826456787e+17,9.445873938262242e+16,1.1243189059565688e+17,9.651195183258039e+19,1998680718183.357,621275171569456.6,9.709474481522598e+19,9.446073806334058e+16,1.1305316576722667e+17
80135.424,-2085430815606.6072,-402299160255377.94,-178322629176.9762,4.773572986320499e+17,7.789847836623112e+16,9.487799548615638e+16,8.941517115029894e+19,1665953200101.733,555225717098978.7,8.989252844893118e+19,7.790014431943152e+16,9.543322120325517e+16
101634.5088,-1363688990926.6948,-312501835017459.06,-159475321132.24878,3.888879504370418e+17,6.337911921659908e+16,7.880449902326045e+16,8.279459331849665e+19,1371536613861.3403,489524206093887.8,8.318348126893323e+19,6.338049075321301e+16,7.929402322935451e+16
127433.41055999999,-850208337144.4796,-240365320093765.8,-140984117772.63074,3.1521831654350886e+17,5.0981324446110536e+16,6.453636304016762e+16,7.66795278187728e+19,1117681523999.166,426666779859901.7,7.699474613531704e+19,5.098244212763451e+16,6.4963029820027704e+16
158392.092672,-505643417755.16486,-183298563997713.56,-122955744785.61949,2.544660906406798e+17,4.0647135802948344e+16,5.2219664416152056e+16,7.107973051441123e+19,903835645556.739,368392531199769.1,7.133419660505161e+19,4.064803963859394e+16,5.258805694735185e+16
