t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
29361.96161372159,-75825192408210.03,-1041511507322186.0,-1017597228711.088,1.4497684028248604e+18,1.8819468371297946e+17,1.3519027311635662e+17,6.171668163260608e+19,2960329773340.76,152010390081709.72,6.316645003543181e+19,1.8819764404275254e+17,1.3534228350643842e+17
35781.553936465905,-57995763987377.72,-784582943341329.4,-866334157586.4802,1.1818660167163448e+18,1.5089416914089443e+17,1.0947695528864638e+17,5.662841775105365e+19,2400227835354.2095,128717721731868.39,5.781028376777059e+19,1.5089656936873027e+17,1.0960567301037837e+17
43485.06472375909,-44062652819659.72,-586974325547305.8,-716790272210.353,9.605100957383548e+17,1.2071587418524616e+17,8.862914251170275e+16,5.2030230495221694e+19,1942906653797.215,109180683180216.7,5.29907405909594e+19,1.2071781709189982e+17,8.873832319488302e+16
52729.277668510906,-33362200183280.715,-437525231584088.3,-576960800777.4661,7.795409615309085e+17,9.662520635241554e+16,7.193680915097093e+16,4.789040671127011e+19,1574153557220.8452,92946866748792.81,4.866994767280178e+19,9.662678050597246e+16,7.2029756017719896e+16
63822.333202213085,-25239811030860.78,-325851787780140.44,-452118018470.1502,6.326587982600269e+17,7.754674071073806e+16,5.866288946144167e+16,4.416710075087451e+19,1278951440383.8645,79513186127689.33,4.479975954913484e+19,7.754801966217866e+16,5.874240264756973e+16
77133.9998426557,-19111514640239.21,-242995365978292.03,-344849638930.01184,5.139365781814951e+17,6.2480844623143256e+16,4.812301733452393e+16,4.0815160617508e+19,1043175697153.8453,68390198302809.64,4.1329097195689615e+19,6.2481887798840584e+16,4.819140753282689e+16
93107.99981118683,-14493849441651.219,-181683436526365.12,-255577649360.106,4.1813306798772736e+17,5.056894067997684e+16,3.973005954301402e+16,3.779095989674689e+19,854572828466.4512,59141929495483.81,3.820909296473462e+19,5.056979525280542e+16,3.97892014725095e+16
112276.7997734242,-11007756832150.432,-136282348800914.38,-183255805655.43143,3.4081648609298477e+17,4.111350918493662e+16,3.3007701080151772e+16,3.5055069769728614e+19,703094117861.8817,51402594255299.38,3.539588625582127e+19,4.1114212279054536e+16,3.305910367440715e+16
135279.35972810903,-8366614259753.229,-102569242104284.89,-126023308514.70227,2.7835026560232944e+17,3.3567995606455776e+16,2.7583447068738988e+16,3.2573205522867855e+19,580791929951.7377,44876812075199.82,3.2851555788470694e+19,3.356857639838577e+16,2.762832388081419e+16
162882.43167373084,-6357997719351.989,-77440936652993.75,-81702604696.06735,2.2780267664562048e+17,2.7512453345242484e+16,2.317184274076543e+16,3.0316101804330553e+19,481501269417.3503,39330991324747.23,3.0543904480976175e+19,2.751293484651197e+16,2.3211173732090236e+16
