t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816564.9641212411,-3019405.809204041,23816487935.484894,1648578599234380.0,292909245177804.7,1.5623840701749605e+20,317588587506.86566,3623981510652604.0,1.562384070413133e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797203.1490238048,-3013121.7400950054,23816466003.058067,1209407435033074.5,302713270605030.0,1.5623686551681915e+20,232984948867.77878,3745073999769276.5,1.562368655406357e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780329.1056349551,-3007568.86707809,23816518976.719948,903779288658016.1,307668205339110.5,1.5623707472993223e+20,174107555381.89212,3806303627628003.0,1.562370747537485e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-764991.2721984107,-3002488.564439572,23816560985.247494,687259611018336.5,309215251331590.3,1.562372507205306e+20,132396363279.22656,3825475973054695.0,1.5623725074434746e+20,687392007381616.6,4134691224386300.5
642954.24,-8674800487.889297,-9454995593.17665,-114067198806.63614,121173279601389.86,262821829543873.7,649872439767526.4,1.5621042237755605e+20,15165442868.361084,80148609790775.02,1.5621054355083624e+20,262836994986742.16,730021049558302.1
857945.088,-1621685585.0111623,-6724364981.923057,-106919764314.34137,121139184524862.55,110240644533608.44,151316255293325.66,1.561793542173293e+20,6361146637.126319,18661921279808.44,1.561794753565149e+20,110247005680245.69,169978176573134.62
1115934.1056,-535162979.1078624,-5387161488.305816,-100425012471.03824,121100713727134.11,85221080975873.97,65526841876134.42,1.5614476404620955e+20,4917458483.531417,8081472007601.184,1.5614488514692343e+20,85225998434357.48,73608313883735.73
1425520.9267199999,-372917849.7554315,-4520910632.38962,-94165386245.54524,121057769092512.75,80761889060294.88,52393606247983.21,1.5610659505234346e+20,4660152534.576806,6461741654702.208,1.561067161101129e+20,80766549212829.39,58855347902685.32
1797025.1120639998,-348328798.43176204,-3891878615.612925,-88059613906.14374,121009982757700.6,79229140207395.45,50133530138029.51,1.5606461332707636e+20,4571709290.69543,6183004983112.309,1.5606473433705887e+20,79233711916686.34,56316535121141.766
2242830.1344767995,-341005777.6523267,-3405296889.796289,-82108126318.30875,120956913760096.42,78002184565412.1,49216773355698.79,1.5601856006514855e+20,4500911040.303724,6069940778419.011,1.5601868102206207e+20,78006685476452.72,55286714134117.88
2777796.161372159,-335306282.5830828,-3013273632.830162,-76339401241.85007,120898067409205.39,76753882871044.69,48410462987982.85,1.559681638279779e+20,4428881072.064842,5970498003543.767,1.5596828472604606e+20,76758311752116.62,54380960991526.71
3419755.393646591,-329568912.77006644,-2688320504.095412,-70789628386.19891,120832883822252.89,75460250539904.78,47587186845581.23,1.5591312681545014e+20,4354235418.577593,5868962826864.249,1.559132476483348e+20,75464604775323.33,53456149672445.3
4190106.472375909,-323693620.1371077,-2413304337.461275,-65492489818.30463,120760725442674.67,74130793462057.17,46742756772846.805,1.558531085751277e+20,4277522592.2428503,5764818719827.284,1.5585322933585212e+20,74135070984649.61,52507575492674.13
