t(s),Flux surface 10: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
1797486.4931786098,-2082561.9956944573,-14304334958067.205,5121211807417007.0,21062339300219.59,26849997244840.203,3.165614315299771e+18,774724189.4035462,1286725744165.713,3.1707355271201674e+18,4.353040612797794e+16,118336339753.30649
2027235.1424964708,-2310617.189141634,-14312773542626.111,5182534708802489.0,26619062181058.355,34137597878932.03,3.4495732155019904e+18,980423505.2484907,1649470572989.2178,3.454755750227779e+18,5.538875094913939e+16,-231988128534.8244
2279958.6567461183,-2529806.656416715,-14320778520516.98,5242684967119372.0,32966981145084.297,42488870836057.47,3.7518318491977943e+18,1215866057.212564,2069701940440.7756,3.75707453418452e+18,6.911716511658036e+16,-804259066194.6812
2557954.5224207304,-2741380.7939627515,-14328403028339.604,5302068367513483.0,40119967771028.38,51921448348967.62,4.0737707046835354e+18,1481692484.6612644,2549547750823.321,4.0790727730762476e+18,8.480571575808072e+16,-1630698630816.2007
2863749.9746628036,-2947064.1017124983,-14335692151433.21,5361053533517334.0,48086826349302.6,62445802142408.78,4.4168026792913915e+18,1778362046.663583,3090838760051.3926,4.422163732859705e+18,1.0253803276866157e+17,-2731375779637.36
3200124.972129084,-3148727.292448106,-14342684802232.74,5419971698010465.0,56871910931380.29,74066274285210.81,4.782360452973757e+18,2106174771.271623,3695155325254.0186,4.787780424716097e+18,1.2239234333739848e+17,-4112556758973.0405
3570137.469341993,-3348151.930920488,-14349415101739.527,5479115163709662.0,66475315624802.08,86781482316755.77,5.171882902461805e+18,2465278170.201255,4363846325479.5903,5.177362017679097e+18,1.4444187195178794e+17,-5766096427988.587
3977151.2162761926,-3546877.001640896,-14355913394628.646,5538735366169709.0,76892658145234.8,100584130717558.42,5.586800916055959e+18,2855659128.558043,5098020491249.756,5.592339651481532e+18,1.6875459212159475e+17,-7669661270301.372
4424866.3379038125,-3746110.8858311935,-14362206990135.232,5599041064779393.0,88114517934479.36,115460320203461.39,6.028522879221537e+18,3277123082.0675273,5898513243211.879,6.034121920351963e+18,1.9539238403246464e+17,-9787526417853.883
4917352.971694194,-3946690.9480598117,-14368320695457.027,5660196897949581.0,100125621035584.95,131388488221311.67,6.498420069875055e+18,3729263729.1963673,6765834223786.214,6.504080266845465e+18,2.2440970731142643e+17,-12071679535759.45
5459088.268863614,-4149076.662797375,-14374277190803.139,5722322361089796.0,112903882413718.66,148338138376679.94,6.997812240470606e+18,4211427215.7777357,7700102017982.3125,7.003534562911555e+18,2.5585193740356368e+17,-14463028043349.225
6054997.095749975,-4353363.4370889105,-14380097282609.96,5785491193151589.0,126419423732272.31,166268524833133.2,7.527953766499789e+18,4722675021.143907,8700973162737.169,7.533739257780621e+18,2.897535379656949e+17,-16892595227489.754
6710496.805324974,-4559308.590229601,-14385800062356.033,5849731165329168.0,140633682463837.67,185127452876322.75,8.090020888578101e+18,5261749725.755195,9767572551674.658,8.095870619839496e+18,3.2613625236193043e+17,-19282703234784.86
7431546.485857472,-4766363.732043651,-14391402992038.912,5915024320491690.0,155498719605820.22,204850343247139.8,8.685100738288615e+18,5827047558.95629,10898431960960.953,8.691015762713959e+18,3.650074982813667e+17,-21548248219291.586
8224701.13444322,-4973710.529450897,-14396921933197.395,5981307780347282.0,170956820614710.06,225359689033187.88,9.31418298304159e+18,6416601199.492102,12091442816140.795,9.320164290936103e+18,4.063591432606698e+17,-23598257640355.957
9097171.247887542,-5180298.7837686865,-14402371133906.623,6048475291942856.0,186940468785625.9,246565011846460.72,9.978155020324985e+18,7028075778.453715,13343828588758.924,9.984203495740768e+18,4.5016682623423686e+17,-25337969032822.98
10056888.372676298,-5384886.868294916,-14407763186973.217,6116379708306447.0,203372752178372.53,268363398777564.22,1.0677801669671406e+19,7658780413.491003,14652141360448.814,1.0683918049513804e+19,4.963899699311235e+17,-26671677885124.01
