t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,875987.7386392681,-816937.5089536397,-57.23485619962939,23848975063.27132,1648578758076011.8,302723787398094.06,1.5646048603623516e+20,317588618106.734,3745421867361499.0,1.564604860600854e+20,1648896346694117.5,4048145654759592.5
190080.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
314496.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
463795.19999999995,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
642954.24,469058408.30680865,-9465878413.816778,-2147794.5753030227,121359685221656.12,346331571676067.56,1542003426315683.5,1.5646197206692846e+20,19984153035.373653,190173070715236.97,1.5646209342661322e+20,346351555829103.94,1732176497030923.2
857945.088,279428605.79455364,-6734532884.613172,-2137778.3821976944,121348864383786.67,164815508731539.56,689710169115797.0,1.56461477941712e+20,9510245730.373362,85061858429246.0,1.56461599290578e+20,164825018977270.47,774772027545044.0
1115934.1056,112763412.10996456,-5397322973.689585,-2132288.7085300446,121335723072908.17,113211805337192.67,321830199704762.8,1.564604162685237e+20,6532589661.948193,39691448131459.9,1.564605376042473e+20,113218337926854.97,361521647836222.75
1425520.9267199999,37562505.63798067,-4531096882.189213,-2125969.8156550354,121320474064973.33,94229780303003.55,177853632170776.53,1.5645909086711543e+20,5437281799.764074,21934795033167.992,1.5645921218758918e+20,94235217584803.28,199788427203945.0
1797025.1120639998,10893881.689901551,-3902098182.5798125,-2117694.682503036,121303060349894.75,86995918646399.72,127263548439502.06,1.5645762267241785e+20,5019870826.345036,15695497629940.111,1.564577439754791e+20,87000938517226.05,142959046069442.22
2242830.1344767995,2802935.2412371766,-3415554403.6172175,-2107006.8056548275,121283291074406.33,83911908222340.23,110829743738120.86,1.564560537750606e+20,4841916110.832046,13668707679991.883,1.564561750583526e+20,83916750138451.08,124498451418112.64
2777796.161372159,664129.067092961,-3023572807.3675327,-2093867.3080623073,121260888509856.1,82101825016952.45,105214211231078.34,1.5645438763826866e+20,4737470017.085441,12976140897600.127,1.5645450889915607e+20,82106562486969.47,118190352128678.97
3419755.393646591,161508.95044867467,-2698664972.014444,-2078623.9764676967,121235511606627.83,80607707270032.34,102529851582176.83,1.564526113996935e+20,4651255879.637109,12645077318072.416,1.5645273263520537e+20,80612358525912.02,115174928900249.28
4190106.472375909,46261.931288367865,-2423697954.1033154,-2061986.1326078414,121206767301729.33,79162528368976.39,100507983670264.83,1.56450706320948e+20,4567865629.658407,12395719225738.885,1.564508275277131e+20,79167096234606.19,112903702896003.95
