t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
8640.000000000002,-29630459603574.43,-2457884774704161.0,-607877374895.3907,2.2141035102379587e+18,2.7629535320684954e+17,2.13248886921633e+17,1.3228941802400285e+20,5127394910382.738,566827227126679.4,1.3450352153424198e+20,2.7630048060176022e+17,2.1381571414875987e+17
15840.000000000004,-29929138345737.91,-1754309416493984.5,-472013803402.83344,1.7164367348312113e+18,2.4182034029316157e+17,2.128277820412495e+17,1.1998202498710032e+20,4532042707333.926,603707254241080.1,1.216984617219309e+20,2.4182487233586922e+17,2.1343148929549072e+17
24480.000000000007,-23900831799935.777,-1312508670741483.5,-402859479066.36914,1.3511155509171666e+18,2.0061814280378298e+17,1.8567716272640563e+17,1.0887361570223191e+20,3796984508937.749,561441357547689.7,1.102247312531497e+20,2.006219397882919e+17,1.8623860408395414e+17
34848.00000000001,-17843936972693.34,-986226447540482.5,-358637647821.7136,1.0676165212415187e+18,1.6285075632145885e+17,1.5630256616465997e+17,9.881789243112627e+19,3114945790618.3604,503674416938574.56,9.98855089523682e+19,1.6285387126724995e+17,1.5680624058159866e+17
47289.600000000006,-12820072921160.709,-738130562862420.8,-322693089582.97815,8.434011221732563e+17,1.301069652597941e+17,1.293093168614929e+17,8.97624107112988e+19,2517717453154.6665,444512283653433.5,9.060581183347206e+19,1.3010948297724728e+17,1.2975382914514648e+17
62219.520000000004,-8903215475963.342,-548747420698563.75,-288265988352.6558,6.652016433192701e+17,1.0266036105387706e+17,1.0570937766932453e+17,8.166947979413085e+19,2012209752080.2522,388163450338009.7,8.233468143744972e+19,1.0266237326362939e+17,1.0609754111966261e+17
80135.424,-5981580242639.5205,-405177695535660.8,-253515604423.11023,5.238824079856321e+17,8.027469429707781e+16,8.565629100580467e+16,7.449041631089541e+19,1595669712641.8057,336304708537028.25,7.50142987188813e+19,8.027628996679054e+16,8.59925957143418e+16
101634.5088,-3891830461204.56,-297609889594345.9,-218898403959.5621,4.1241202251879994e+17,6.243357488425588e+16,6.897370930929617e+16,6.8157841279283085e+19,1259971124900.0874,289620840818348.0,6.857025330180193e+19,6.243483485538087e+16,6.926333015011462e+16
127433.41055999999,-2457542251671.565,-218038230520096.7,-185634228641.46753,3.250007959809881e+17,4.84759290317101e+16,5.532192237032831e+16,6.258770792314638e+19,994099112965.9329,248270316717580.3,6.2912708719128175e+19,4.847692313082319e+16,5.5570192687045944e+16
158392.092672,-1511339846293.4514,-159818778314143.84,-154886869956.60782,2.567602893697974e+17,3.770030724157322e+16,4.42879865784037e+16,5.768650513887549e+19,786054079057.964,212100074726801.75,5.7943265428245004e+19,3.77010932956523e+16,4.450008665313069e+16
195542.5112064,-909304336285.8695,-117529959976921.45,-127426316384.4561,2.0358769238588752e+17,2.9442974220458364e+16,3.5446187186154144e+16,5.335991013767895e+19,624288801178.686,180772991018775.8,5.356349783006567e+19,2.944359850925955e+16,3.5626960177172936e+16
240123.01344768,-537941335467.10223,-86893087482762.33,-103579838570.69173,1.6211773446386317e+17,2.3126700807378664e+16,2.839736470159805e+16,4.952008599916999e+19,498628041355.3511,153851039158665.62,4.968220373363411e+19,2.312719943542006e+16,2.855121574075672e+16
293619.616137216,-314440805095.40607,-64656326622745.25,-83321469848.10393,1.2966690054054646e+17,1.8281110477622956e+16,2.2790569887489376e+16,4.6090172823040705e+19,400681669656.03754,130851540859433.28,4.621983972358074e+19,1.8281511159292644e+16,2.292142142834882e+16
357815.53936465917,-182335337905.13132,-48430535598663.375,-66399678725.079216,1.0414904030469512e+17,1.4541031053974056e+16,1.8331067549809464e+16,4.300586902867816e+19,323860203877.09467,111286185579493.98,4.311001806898276e+19,1.454135491417793e+16,1.8442353735388956e+16
434850.647237591,-105199288229.54013,-36503962561951.93,-52450044741.16573,8.397135191436971e+16,1.1632027134711376e+16,1.4779169113574826e+16,4.021486785753506e+19,263152110420.1447,94687859083966.38,4.02988392094498e+19,1.163229028682178e+16,1.4873856972658816e+16
527292.7766851091,-60504995636.27722,-27667565908922.47,-41074248679.797264,6.7928599128970984e+16,9351417752987582.0,1.194396551981523e+16,3.767516102665501e+19,214809797928.08603,80627560821024.28,3.774308962578413e+19,9351632562785514.0,1.2024593080636264e+16
638223.332022131,-34724987289.01963,-21070624229647.72,-31886152515.16604,5.510952532634468e+16,7550201858080044.0,9675116670512180.0,3.5353029394120647e+19,176042353969.0222,68723068675786.02,3.540813891944682e+19,7550377900434026.0,9743839739187994.0
771339.9984265572,-19890974744.669548,-16111964706668.87,-24533478914.780106,4.4821644091447144e+16,6118326573579313.0,7854744237739720.0,3.3221196607755825e+19,144760948781.47485,58641354758932.16,3.3266018251847274e+19,6118471334528098.0,7913385592498687.0
931079.9981118686,-11365010696.807997,-12362854888915.93,-18704614975.291508,3.653439377063306e+16,4973692529414294.0,6390430510906329.0,3.12573287767677e+19,119386424693.51694,50096860461794.55,3.129386317053852e+19,4973811915838999.0,6440527371368145.0
1122767.9977342424,-6466880328.737576,-9514146909078.207,-14128115085.3306,2.983757169146312e+16,4054322771231907.5,5209579812444128.0,2.944289028532478e+19,98710739298.10208,42847400823423.21,2.947272785701647e+19,4054421481971215.0,5252427213267559.0
1352793.5972810907,-3653996207.2469816,-7340475355558.664,-10569690203.708202,2.441128937131827e+16,3312883217649002.5,4255018478763123.5,2.776229505409668e+19,81799009956.48631,36688991279017.51,2.7786706343468294e+19,3312965016658966.0,4291707470042146.5
1628824.3167373086,-2040196681.7011533,-5675929863095.034,-7828982535.678671,2.0004192442650424e+16,2712843555628393.0,3481594970644717.5,2.6202280244677886e+19,67920198658.856636,31450467923684.13,2.622228443712036e+19,2712911475827058.5,3513045438568412.0
1960061.1800847703,-1116544584.7318454,-4397332878243.103,-5736757685.095824,1.6417503163277798e+16,2225756133319328.0,2853553392691631.0,2.4751440584821514e+19,56497514590.743866,26988427725349.875,2.476785808798507e+19,2225812630833923.8,2880541820416985.0
2357545.4161017244,-590474145.4015154,-3412575512358.461,-4152347182.4444976,1.3493171393468888e+16,1829297282176583.2,2342499584791816.0,2.339987739615614e+19,47072390001.69334,23182742536533.105,2.3413370567549846e+19,1829344354566590.2,2365682327328357.5
2834526.4993220693,-293511674.44011545,-2652362010492.8,-2961000385.8899703,1.1104958586696618e+16,1505834934345302.8,1925822194066633.5,2.2138929977499288e+19,39277899954.81113,19932713418442.91,2.215003493608617e+19,1505874212245257.8,1945754907485080.8
3406903.799186483,-128440119.49052559,-2064289442368.8826,-2070943327.4068346,9151647964852886.0,1241365410063968.0,1585464307510544.8,2.096096689359013e+19,32818847468.524208,17153830680292.201,2.0970118541555085e+19,1241398228911438.5,1602618138190837.8
4093756.5590237794,-39050750.438712284,-1608553530260.6895,-1410153036.0727918,7551820040957753.0,1024713606489499.5,1306965857334581.5,1.9859221520717754e+19,27456630056.529205,14775066842312.756,1.986677334075876e+19,1024741063119553.9,1321740924176891.0
