t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,875987.7386392681,-816937.5089536397,-57.23485619962939,23848975063.27132,1648578758076011.8,302723787398094.06,1.5646048603623516e+20,317588618106.734,3745421867361499.0,1.564604860600854e+20,1648896346694117.5,4048145654759592.5
190080.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
314496.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
463795.19999999995,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
642954.24,-86021028108.67917,-735304719680.4056,-2103545644.239793,3.0810569275580884e+16,1.2820285619635288e+16,1.51569335176791e+16,1.562591037618145e+20,337523301219.8829,93077732738046.7,1.5628991433109e+20,1.2820623142936518e+16,1.5250011250417172e+16
857945.088,-56955656132.36002,-489942939040.50073,-2164522856.49827,3.0523907054219316e+16,1.0365949186814702e+16,1.2714696210539654e+16,1.561463454748824e+20,272907289534.20438,78080234951939.95,1.5617686938193514e+20,1.0366222094104258e+16,1.279277644549161e+16
1115934.1056,-41243694247.74906,-471832012067.8354,-2210652967.7849064,3.031405772774483e+16,8926673861979600.0,1.0996730413552796e+16,1.5601707424939285e+20,235015079482.57455,67530371830676.6,1.560473883071212e+20,8926908877059091.0,1.1064260785383474e+16
1425520.9267199999,-31693727011.858566,-528511138332.08234,-2245375548.9434204,3.013685200068542e+16,7918727008160610.0,9784332153179572.0,1.558458269029042e+20,208478576453.4522,60085136569391.34,1.558759637549047e+20,7918935486737088.0,9844417289748980.0
1797025.1120639998,-25123976290.391075,-660812527348.8903,-2309838104.5867443,2.9969435867274364e+16,7135065128459964.0,8838912270998338.0,1.5559272637274826e+20,187846887580.11038,54279385035222.04,1.5562269580861604e+20,7135252975347550.0,8893191656033584.0
2242830.1344767995,-20280382188.998276,-884719591101.1569,-2487429345.900396,2.979156908434084e+16,6488694336221545.0,8056286179189607.0,1.551907521079296e+20,170829700129.55914,49473332550415.77,1.552205436770145e+20,6488865165921685.0,8105759511740049.0
2777796.161372159,-16554620177.184046,-1206446267072.4019,-2898679334.9282556,2.9579680284119476e+16,5935555069513409.0,7384067869326979.0,1.5453783588417785e+20,156267045514.14154,45345282859064.195,1.545674155644609e+20,5935711336558944.0,7429413152186078.0
3419755.393646591,-13607778453.25232,-1609362929741.8118,-3653148958.8751264,2.930524016297233e+16,5450360976707627.0,6792340177139372.0,1.534972466728368e+20,143493202779.58237,41711518106826.85,1.535265519130001e+20,5450504469910423.0,6834051695246200.0
4190106.472375909,-11231735047.693535,-2052374224371.213,-4767894762.729837,2.8936098336501948e+16,5017187587148176.0,6262311102837170.0,1.519088352194955e+20,132088923868.00946,38456638735710.984,1.519377713178323e+20,5017319676072047.0,6300767741572880.0
