t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
8640.000000000002,-79108091426110.84,-3150648463482845.0,-825080513794.817,2.945470821120001e+18,3.9192811145230816e+17,2.789249876436674e+17,1.2494812343870615e+20,6708215647520.472,493823827308369.0,1.2789359425982551e+20,3.919348196679553e+17,2.7941881147097626e+17
15840.000000000004,-68839572777510.54,-2210528444263149.8,-665486060276.114,2.1975553992485663e+18,3.125703026430846e+17,2.4611849039114432e+17,1.0939260034531787e+20,5414585934601.113,465264509804223.5,1.1159015574456733e+20,3.1257571722902e+17,2.4658375490094874e+17
24480.000000000007,-50327093667560.19,-1553594929196346.0,-583615198601.1156,1.645013221133335e+18,2.397117676510617e+17,1.957000154967913e+17,9.620565354525067e+19,4203962707981.045,395910151596916.44,9.785066676638553e+19,2.3971597161376944e+17,1.9609592564838858e+17
34848.00000000001,-35250383894528.57,-1087335329393213.8,-521109889912.4878,1.2364140397894016e+18,1.8130624830993395e+17,1.526749045611836e+17,8.507229416512905e+19,3222629633606.2603,331474468211248.75,8.630870820491901e+19,1.8130947093956794e+17,1.530063790293949e+17
47289.600000000006,-24099223097014.336,-758910460416216.2,-458482419029.2257,9.332518046337427e+17,1.3606637580251133e+17,1.184915450622826e+17,7.570931147827868e+19,2454411315084.134,276882772735818.22,7.664256328291253e+19,1.3606883021382675e+17,1.1876842783501878e+17
62219.520000000004,-16165074841158.293,-529187488816956.94,-393291488024.96576,7.079689265533417e+17,1.018740786149616e+17,9.20247657866425e+16,6.785031580752953e+19,1867247190217.4348,231816157175235.22,6.855828473408319e+19,1.01875945862152e+17,9.225658194381763e+16
80135.424,-10686888451071.756,-369784839444614.8,-328791079967.79846,5.404971112480792e+17,7.649742992321797e+16,7.182852884412218e+16,6.124476569714484e+19,1426076680034.7915,194986626144264.78,6.178526280839388e+19,7.649885599989813e+16,7.2023515470266504e+16
101634.5088,-6996400745167.122,-259900892938190.88,-268737186580.71872,4.1583694994070144e+17,5.786814499615983e+16,5.651409804786114e+16,5.566390070270595e+19,1097781465649.8582,164919450430429.44,5.607973765264684e+19,5.7869242777625624e+16,5.667901749829151e+16
127433.41055999999,-4555087612254.689,-184340142110595.47,-215593471248.01144,3.226844949669451e+17,4.423309175744758e+16,4.4884730781964696e+16,5.09081794815525e+19,853916871123.597,140237854831404.03,5.123086397652013e+19,4.4233945674318824e+16,4.502496863679619e+16
158392.092672,-2958190560271.56,-132225029607325.75,-170343658223.21533,2.5259653644689853e+17,3.420828999742894e+16,3.59831105159929e+16,4.681172008438667e+19,671783380586.1006,119784437017286.36,4.706431662083421e+19,3.4208961780809564e+16,3.6102894953010216e+16
195542.5112064,-1918889247808.5476,-95982070401198.97,-132887855950.99828,1.9937230575535635e+17,2.676120261685258e+16,2.9085276806270628e+16,4.324222499620935e+19,534275328585.46027,102650280368364.48,4.344159730196516e+19,2.6761736892181224e+16,2.9187927086639036e+16
240123.01344768,-1243043789503.457,-70472565702133.02,-102517318770.3716,1.585300519476989e+17,2.11526772210789e+16,2.36651818730669e+16,4.009727317202027e+19,429024405112.2961,88151960967234.28,4.025580322396774e+19,2.1153106245484056e+16,2.3753333834034148e+16
293619.616137216,-803182655570.4072,-52270232875665.82,-78273599293.75009,1.2686055420730693e+17,1.6866677512452364e+16,1.9349381948368212e+16,3.729882329346242e+19,347305421173.25085,75786337175046.66,3.742568384766982e+19,1.6867024817873544e+16,1.942516828554326e+16
357815.53936465917,-516828170211.5739,-39104755849470.195,-59162374764.97749,1.0206709583344491e+17,1.3546149218711348e+16,1.587445245742997e+16,3.478756888793826e+19,283014660248.9195,65182686156890.36,3.488963598377196e+19,1.3546432233371594e+16,1.593963514358689e+16
434850.647237591,-330706783369.67194,-29464839094038.043,-44258018531.90394,8.249395143351605e+16,1.0942842378855976e+16,1.305287419349581e+16,3.2518091362371334e+19,231859190792.6986,56062170908148.734,3.2600585313804517e+19,1.0943074238046748e+16,1.3108936364403982e+16
527292.7766851091,-210200873570.02048,-22331700584019.832,-32744591177.605907,6.693247585598875e+16,8881634561804200.0,1.0748341455330458e+16,3.045511090548524e+19,190774251771.06845,48207734416305.91,3.052204338134157e+19,8881825336055981.0,1.0796549189746818e+16
638223.332022131,-132634533465.86569,-17006944813523.309,-23925991574.585884,5.448730305566217e+16,7236563295733101.0,8859033665776827.0,2.85707533761641e+19,157528303563.81543,41443698680132.484,2.8625240679220003e+19,7236720824036674.0,8900477364456987.0
771339.9984265572,-83068689481.13295,-13003257744915.686,-17222731726.266697,4.4485337051746264e+16,5915149574906283.0,7306721079961427.0,2.6842611398509347e+19,130462626827.01926,35622865363471.84,2.6887096735561544e+19,5915280037533107.0,7342343945324890.0
931079.9981118686,-51647685445.98438,-9974919561711.516,-12162762123.346487,3.641374444250533e+16,4848185582162102.0,6029793462027884.0,2.5252375894845837e+19,108320437560.72157,30618774552644.133,2.5288789639288107e+19,4848293902599668.0,6060412236580551.0
1122767.9977342424,-31890084308.73157,-7673049440954.508,-8369165967.944444,2.9877200075089184e+16,3983006905937110.5,4978792553633547.0,2.3784862389339476e+19,90133517597.70958,26321201271065.98,2.3814739589414765e+19,3983097039454720.5,5005113754904615.0
1352793.5972810907,-19562559773.405823,-5916227509291.634,-5546151962.864552,2.456790942697017e+16,3278972366908757.5,4113493236974818.5,2.2427308355831472e+19,75145510325.85109,22633515949278.934,2.245187626525847e+19,3279047512419083.0,4136126752924113.5
1628824.3167373086,-11925562397.3441,-4570811227050.159,-3464607928.98236,2.0244207959288036e+16,2704356251304586.5,3400925690352735.5,2.1168858131006243e+19,62758802063.759766,19471017940402.223,2.1189102338965606e+19,2704419010106656.5,3420396708293146.0
1960061.1800847703,-7224450901.2336445,-3537484767562.5845,-1948430893.981557,1.6715015155290342e+16,2234160740225591.2,2813966438852679.5,2.000017943456862e+19,52496848977.13571,16759717579604.508,2.0016894449723765e+19,2234213237074572.2,2830726156432290.5
2357545.4161017244,-4346976276.389731,-2741900587768.5874,-862568705.7875309,1.3828357573600006e+16,1848540895134013.0,2330278356074216.0,1.8913173587735376e+19,43976837970.39646,14435293921867.04,1.8927001945309004e+19,1848584871971984.8,2344713649996092.5
2834526.4993220693,-2594832450.291495,-2128062555887.3499,-103247692.59560901,1.1462770623759804e+16,1531646774746731.2,1931474239508112.5,1.7900753394439606e+19,36889419689.692375,12442111626946.383,1.7912216165063483e+19,1531683664166421.0,1943916351135061.5
3406903.799186483,-1533269283.3454022,-1653580973886.8376,409597226.09055173,9520772481615258.0,1270756309916229.5,1602434553347761.8,1.6956670611796136e+19,30983395529.882336,10732265608842.94,1.6966191384277717e+19,1270787293311759.8,1613166818956609.8
4093756.5590237794,-893517939.3307047,-1286228378810.0337,737984993.2023938,7923854576107012.0,1055615675015336.6,1330740942214046.8,1.6075380337423913e+19,26053958926.104183,9264659920526.895,1.6083304191999699e+19,1055641728974262.6,1340005602134570.0
