t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
8640.000000000002,-636718988286.6908,-1466316434553198.8,-339090370611.4032,1.1606303627029425e+18,1.023004805956333e+17,8.607401268917195e+16,1.4246454084703352e+20,2290995898837.4365,580729579197992.0,1.4362517120973655e+20,1.0230277159153211e+17,8.665474226837008e+16
15840.000000000004,-815284348867.5552,-968097075867237.2,-245005386281.6823,9.091829851784302e+17,1.0596469408720598e+17,1.1267809079371824e+17,1.3572255025126757e+20,2387734641088.454,804984243429771.0,1.3663173323644415e+20,1.059670818218473e+17,1.1348307503714837e+17
24480.000000000007,-781867557530.5947,-752953012320014.1,-199717847116.82208,7.539723953864975e+17,1.0163263955469246e+17,1.2062573643832837e+17,1.293734324130064e+20,2303211319949.9917,908040935492956.0,1.3012740480839323e+20,1.016349427660125e+17,1.2153377737382152e+17
34848.00000000001,-657761016282.6333,-613996637359552.5,-170997554182.5775,6.388702078547141e+17,9.422113506946859e+16,1.182560711579417e+17,1.2313646955595412e+20,2148145148574.495,935061170218014.1,1.237753397638105e+20,9.422328321461739e+16,1.1919113232815984e+17
47289.600000000006,-512363767735.1744,-509131847604404.44,-150323756854.036,5.4548657817932934e+17,8.531764320731976e+16,1.1041268045425776e+17,1.1691645448013891e+20,1957816443411.5212,916290946090100.6,1.1746194105831934e+20,8.531960102376328e+16,1.1132897140034814e+17
62219.520000000004,-377535017093.6944,-423480700597938.8,-134131637670.66786,4.660420289854391e+17,7.578923325397315e+16,9.986990743733973e+16,1.1069835627585484e+20,1751492478997.5896,870392101807215.4,1.1116439830484037e+20,7.579098474645214e+16,1.0074029953914725e+17
80135.424,-264992831703.53223,-350810194017716.9,-120579006087.33958,3.968532287735542e+17,6.618310146948045e+16,8.821284052576971e+16,1.0450944759321575e+20,1541420639818.6318,808777243911691.0,1.0490630082198993e+20,6.618464289012032e+16,8.902161776968168e+16
101634.5088,-177208697658.1935,-288274698673702.94,-108632863576.2877,3.360571676227752e+17,5.68755682837996e+16,7.638295075763195e+16,9.84002264124292e+19,1336105060558.0295,738736980709580.2,9.87362835800535e+19,5.687690438886021e+16,7.71216877383414e+16
127433.41055999999,-112587533930.72394,-234456500662103.44,-97688512205.86995,2.8264433692036093e+17,4.8138487233634616e+16,6.497667538709165e+16,9.243215940118726e+19,1141767574928.3887,665271201083649.2,9.271480373810805e+19,4.8139629001209656e+16,6.5641946588175384e+16
158392.092672,-67681347343.22201,-188527155069714.28,-87400251194.25233,2.359961700961373e+17,4.016534177737606e+16,5.4388067597152056e+16,8.666829395699019e+19,962925413564.2583,592013065865686.0,8.690429012708755e+19,4.01663047027897e+16,5.498008066301777e+16
195542.5112064,-38300815274.86965,-149858032328978.25,-77602242931.84177,1.9564504567699626e+17,3.307985514903182e+16,4.486950491509316e+16,8.116555941265221e+19,802579283845.9581,521637106699235.7,8.136120445833036e+19,3.3080657728315756e+16,4.539114202179249e+16
240123.01344768,-20257713419.78776,-117835985978450.05,-68257354236.28998,1.6114628406295216e+17,2.6939834511515516e+16,3.655726853610616e+16,7.596879876874887e+19,662289165145.7349,456023263046057.6,7.612994505281248e+19,2.6940496800680744e+16,3.701329179915227e+16
293619.616137216,-9885287646.352375,-91787636965520.83,-59411931492.64672,1.3201605738480214e+17,2.1742742619752936e+16,2.9487303396178932e+16,7.110702159354367e+19,542282288598.34186,396338159987419.6,7.123903765092961e+19,2.1743284902041628e+16,2.988364155616637e+16
357815.53936465917,-4319065647.491375,-70968940802633.16,-51153991357.55344,1.077135072108331e+17,1.7435570163666648e+16,2.361269885585141e+16,6.659228026636419e+19,441653430931.67944,343117551314408.25,6.669999377357593e+19,1.7436011817097572e+16,2.395581640716587e+16
434850.647237591,-1543917402.048292,-54594220417114.68,-43577329558.06327,8.765301362939443e+16,1.392881913678767e+16,1.88259223349661e+16,6.242111942333002e+19,358657347910.73285,296381253216888.6,6.250877243695996e+19,1.39291777941356e+16,1.9122303588182976e+16
527292.7766851091,-273927623.2988553,-41883761303631.07,-36754511904.55243,7.123380066818618e+16,1.111250619517505e+16,1.4983789936364896e+16,5.857797744501343e+19,291050688246.3892,255776725855896.97,5.864921124568239e+19,1.111279724586333e+16,1.5239566662220812e+16
638223.332022131,240915544.23017287,-32111892776697.33,-30721298244.880253,5.787444837541508e+16,8871281988153019.0,1.1931010653050106e+16,5.503951330636212e+19,236421250147.8855,220728660055589.06,5.509738775473751e+19,8871518409403190.0,1.2151739313105698e+16
771339.9984265572,403795754.0524349,-24642527294737.203,-25473180261.904175,4.7042153972025656e+16,7096169514686557.0,9518515399483996.0,5.177878541162314e+19,192449387839.06427,190569131122922.97,5.182582756559516e+19,7096361964074407.0,9709084530606928.0
931079.9981118686,416182846.3114454,-18946380448432.11,-20971579653.65033,3.827095399288061e+16,5691707679093412.0,7614742176482081.0,4.876851533220647e+19,157072957006.14288,164631841259676.44,4.880678628620009e+19,5691864752050428.0,7779374017741768.0
1122767.9977342424,372288033.26935416,-14601080048590.625,-17154917751.256596,3.116800567581876e+16,4578733403329863.0,6110274144865110.0,4.598314271476651e+19,128558335933.18057,142307123565451.7,4.601431072044247e+19,4578861961665806.0,6252581268430552.0
