t(s),Flux surface 10: solute,Flux surface 9: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816937.5089536397,23848975063.270744,1648578599234380.0,292909245177804.7,1.5646048603623257e+20,317588587506.86566,3623981510652604.0,1.564604860600829e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797506.8332190104,23848950779.056686,1209407435033074.5,302713270605030.0,1.5646076401909046e+20,232984948867.77878,3745073999769276.5,1.5646076404293973e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780604.5429741772,23849003810.720566,903779288658016.1,307668205339110.5,1.5646098616844825e+20,174107555381.89212,3806303627628003.0,1.564609861922973e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-765252.7062705411,23849045907.60924,687259611018336.5,309215251331590.3,1.564611628298001e+20,132396363279.22656,3825475973054695.0,1.5646116285364912e+20,687392007381616.6,4134691224386300.5
642954.24,-923865254399.6042,-735303435950.0974,3.0777591391039096e+16,1.1917595779468138e+16,7333662652910213.0,1.5611366424193525e+20,313757929572.2163,45035650238044.51,1.5614444183332697e+20,1.1917909537397732e+16,7378698303148276.0
857945.088,-747952740920.652,-489940559326.88,3.045905632589146e+16,9540958389460772.0,5921380334968255.0,1.558480642130202e+20,251187522541.486,36362939490120.05,1.5587852326934453e+20,9541209576983366.0,5957743274458384.0
1115934.1056,-640579052541.4042,-471811736584.5442,3.021721727564984e+16,8182729066465058.0,5073742517650341.0,1.5555990491360834e+20,215429033543.27274,31157653869486.723,1.5559012213088492e+20,8182944495498587.0,5104900171519815.0
1425520.9267199999,-565827326953.315,-528402145887.38556,3.0006560288176732e+16,7232573707770945.0,4482633031788451.5,1.552190840208838e+20,190414023588.725,27527686536778.2,1.552490905811717e+20,7232764121794545.0,4510160718325229.0
1797025.1120639998,-507872171802.1994,-660392241873.3042,2.980342302172776e+16,6493919264349283.0,4023884588494844.0,1.5478238915128394e+20,170967258253.1575,24710537703821.9,1.5481219257430517e+20,6494090231607551.0,4048595126198666.0
2242830.1344767995,-460153514367.8461,-883464086806.4915,2.9586990698715388e+16,5884884417187706.0,3645972861901601.5,1.541801954980349e+20,154933024819.084,22389800992621.734,1.5420978248873414e+20,5885039350212536.0,3668362662894233.5
2777796.161372159,-419372563244.1727,-1203385230685.2307,2.9333262640185616e+16,5363965293895397.0,3322911518614085.0,1.5330838445655572e+20,141218639060.91986,20405896511219.547,1.5333771771919535e+20,5364106512534460.0,3343317415125295.5
3419755.393646591,-383643219400.3335,-1603033486865.3726,2.9013428549426188e+16,4907331077974189.0,3039819324840510.0,1.5202884373740428e+20,129196700309.86894,18667439813247.195,1.5205785716595543e+20,4907460274674502.0,3058486764653760.5
4190106.472375909,-351781255254.2797,-2040940077042.6882,2.8595241271142012e+16,4499979371114348.0,2787343630974850.0,1.5018093450311562e+20,118472236167.83481,17116997017234.2,1.5020952974438695e+20,4500097843350519.5,2804460627992081.0
