t(s),Flux surface 10: solute,Flux surface 9: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816937.5089536397,23848975063.270744,1648578599234380.0,292909245177804.7,1.5646048603623257e+20,317588587506.86566,3623981510652604.0,1.564604860600829e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797506.8332190104,23848950779.056686,1209407435033074.5,302713270605030.0,1.5646076401909046e+20,232984948867.77878,3745073999769276.5,1.5646076404293973e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780604.5429741772,23849003810.720566,903779288658016.1,307668205339110.5,1.5646098616844825e+20,174107555381.89212,3806303627628003.0,1.564609861922973e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-765252.7062705411,23849045907.60924,687259611018336.5,309215251331590.3,1.564611628298001e+20,132396363279.22656,3825475973054695.0,1.5646116285364912e+20,687392007381616.6,4134691224386300.5
642954.24,-4459415074.045438,-512249462.3409691,6700729557991.042,443201547407529.8,1350699696648432.8,1.5646240638349676e+20,38502168483.52666,795983897912282.0,1.564624130842287e+20,443240049576015.0,2146683594560717.2
857945.088,-2127085356.7332287,-433415076.4606368,6700756087033.332,201418784104963.12,737852604928696.5,1.564630287441677e+20,17497817902.37085,434842508414698.4,1.5646303544492553e+20,201436281922866.56,1172695113343394.5
1115934.1056,-1061246597.6397778,-389690648.6478017,6700756638094.97,95251856996216.23,372372733353495.4,1.5646330768367747e+20,8274797491.181751,219457605006409.72,1.5646331438443394e+20,95260131793707.42,591830338359905.2
1425520.9267199999,-490624351.9564625,-358056658.21001047,6700740100474.461,44700098675588.164,171807719416342.56,1.5646338418316204e+20,3883223656.9689674,101256072411033.58,1.5646339088390406e+20,44703981899245.125,273063791827376.44
1797025.1120639998,-205784546.0766474,-332450005.6195176,6700710961852.466,20950300259116.266,72534293264355.5,1.5646333699791382e+20,1820011677.9463527,42748858678919.38,1.5646334369862438e+20,20952120270794.25,115283151943274.88
2242830.1344767995,-78866229.36706927,-310424457.39509857,6700671507629.08,10627042828883.338,28599059773430.582,1.5646321455446295e+20,923201186.244791,16855206511409.746,1.564632212551354e+20,10627966030069.602,45454266284840.445
2777796.161372159,-28853245.5911988,-290761954.7069268,6700622477016.701,6595299535590.635,11340928065826.633,1.564630446573805e+20,572952274.0265039,6683921934579.43,1.5646305135800425e+20,6595872487864.676,18024850000406.086
3419755.393646591,-11516602.744507961,-272777173.1344736,6700563460823.837,5199829754085.133,5365453263891.879,1.564628407523684e+20,451723877.90570694,3162200019281.044,1.5646284745293156e+20,5200281477963.05,8527653283172.926
4190106.472375909,-6257513.22310428,-256054239.25174844,6700493236831.483,4773646635799.563,3552607487578.4507,1.5646260748970325e+20,414700148.2853043,2093775855535.3445,1.5646261419019426e+20,4774061335947.862,5646383343113.786
