t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,875987.7386392681,-816937.5089536397,-57.23485619962939,23848975063.27132,1648578758076011.8,302723787398094.06,1.5646048603623516e+20,317588618106.734,3745421867361499.0,1.564604860600854e+20,1648896346694117.5,4048145654759592.5
190080.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
314496.0,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
463795.19999999995,798909.4185556719,-797506.4866112585,-73.75175387953126,23848950777.631344,1209403614409721.0,313671425365874.94,1.5646076401900496e+20,232984213243.91672,3880685880823366.0,1.5646076404285397e+20,1209636598622964.8,4194357306189242.0
642954.24,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
857945.088,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
1115934.1056,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
1425520.9267199999,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
1797025.1120639998,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
2242830.1344767995,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
2777796.161372159,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
3419755.393646591,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
4190106.472375909,3081348.638559833,-6671069.738932554,-617.1306584680929,142874355791.2879,776279056160162.9,720884171856964.5,1.5646127647843697e+20,116132468982.75142,3392481073743134.5,1.564612766213102e+20,776395188629145.5,4113365245600091.5
