t(s),Flux surface 10: solute,Flux surface 9: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816937.5089536397,23848975063.270744,1648578599234380.0,292909245177804.7,1.5646048603623257e+20,317588587506.86566,3623981510652604.0,1.564604860600829e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797506.8332190104,23848950779.056686,1209407435033074.5,302713270605030.0,1.5646076401909046e+20,232984948867.77878,3745073999769276.5,1.5646076404293973e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780604.5429741772,23849003810.720566,903779288658016.1,307668205339110.5,1.5646098616844825e+20,174107555381.89212,3806303627628003.0,1.564609861922973e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-765252.7062705411,23849045907.60924,687259611018336.5,309215251331590.3,1.564611628298001e+20,132396363279.22656,3825475973054695.0,1.5646116285364912e+20,687392007381616.6,4134691224386300.5
642954.24,-135089674406.74261,-236027743948.12198,7066994572424906.0,3617999853643045.5,2273467848456494.5,1.5638473006186404e+20,117476866802.4199,31125470526737.207,1.5639179705643506e+20,3618117330509843.0,2304593318983235.0
857945.088,-114397239454.41408,-132553523687.78958,7035120464579106.0,3149753714340747.0,1966172439436039.5,1.5633180599370937e+20,102272861462.03914,26918381989965.652,1.5633884111417337e+20,3149855987202212.0,1993090821426004.0
1115934.1056,-103152009937.08482,-102828046964.45976,7007356714498830.0,2846317529515691.5,1774466730659145.5,1.5627857195438555e+20,92420254057.2364,24293795010959.87,1.56285579311099e+20,2846409949769752.0,1798760525670106.8
1425520.9267199999,-94769209905.55376,-88047818225.77771,6981664695526660.0,2617337738295893.0,1630794936942805.2,1.5622171143588112e+20,84985254208.90019,22326825191156.773,1.5622869310057667e+20,2617422723550111.0,1653121762133964.5
1797025.1120639998,-87896183172.79742,-79208759458.7774,6957153378200653.0,2428685546275777.0,1512779200488496.0,1.561592350263295e+20,78859696086.87038,20711104398617.848,1.561661921797062e+20,2428764405971867.5,1533490304887109.5
2242830.1344767995,-81966340152.65767,-73598654678.1196,6933337675426957.0,2265513661824703.5,1410861441879940.8,1.5608936353297138e+20,73561486445.6498,19315775981240.645,1.56096296870648e+20,2265587223311149.5,1430177217861181.5
2777796.161372159,-76687783605.71825,-70156669439.484,6909911719164172.0,2120042579865243.5,1320085351030036.2,1.5601016243268947e+20,68838023871.79741,18072984652695.004,1.560170723444106e+20,2120111417889115.5,1338158335682731.5
3419755.393646591,-71890782616.10355,-68471796635.02414,6886652414712075.0,1987709252048112.2,1237559365678725.5,1.5591928016512424e+20,64541145667.14686,16943142940002.994,1.5592616681753942e+20,1987773793193781.8,1254502508618728.5
4190106.472375909,-67468714006.60876,-68513313011.17511,6863364067128801.0,1865632443190324.0,1161463472273250.2,1.5581361022829642e+20,60577297798.06661,15901333609238.346,1.5582047359236217e+20,1865693020488128.2,1177364805882492.2
