t(s),Flux surface 10: solute,Flux surface 9: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816937.5089536397,23848975063.270744,1648578599234380.0,292909245177804.7,1.5646048603623257e+20,317588587506.86566,3623981510652604.0,1.564604860600829e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797506.8332190104,23848950779.056686,1209407435033074.5,302713270605030.0,1.5646076401909046e+20,232984948867.77878,3745073999769276.5,1.5646076404293973e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780604.5429741772,23849003810.720566,903779288658016.1,307668205339110.5,1.5646098616844825e+20,174107555381.89212,3806303627628003.0,1.564609861922973e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-765252.7062705411,23849045907.60924,687259611018336.5,309215251331590.3,1.564611628298001e+20,132396363279.22656,3825475973054695.0,1.5646116285364912e+20,687392007381616.6,4134691224386300.5
642954.24,-454953378.0756585,-6565495.4213419445,142874629809.5807,565991785767413.9,674689780931289.5,1.5646146860464328e+20,84673189461.39697,3175111231166078.0,1.564614687475199e+20,566076458956877.5,3849801012097366.0
857945.088,-368055869.88822085,-6197257.033442661,142874986615.0459,404461010199352.9,642485626403792.8,1.5646172091411097e+20,60507951977.73053,3023638871584300.5,1.5646172105698545e+20,404521518151330.56,3666124497988095.5
1115934.1056,-307161570.0401694,-5929534.695002668,142875286626.8839,293285067750584.94,608775984915864.0,1.5646193417006865e+20,43875870266.99193,2865053215345919.0,1.5646193431294394e+20,293328943620852.44,3473829200261784.5
1425520.9267199999,-262240204.15689108,-5713450.590319553,142875546480.0657,219673204117310.6,573223568545717.4,1.5646211998085975e+20,32863429034.204998,2697782815813206.5,1.564621201237348e+20,219706067546345.16,3271006384358922.0
1797025.1120639998,-227722717.68441966,-5527736.391936829,142875780422.2399,170367684163652.56,536005820039756.8,1.564622883721286e+20,25487251952.306084,2522667826075656.5,1.5646228851500522e+20,170393171415605.16,3058673646115409.5
2242830.1344767995,-200417037.12106848,-5361582.460222423,142875998843.81656,136264365283662.89,497108059651285.1,1.5646244672605543e+20,20385346130.25893,2339641708382821.5,1.5646244686893174e+20,136284750629793.6,2836749768034107.0
2777796.161372159,-200417037.12106848,-5361582.460222423,142875998843.81656,136264365283662.89,497108059651285.1,1.5646244672605543e+20,20385346130.25893,2339641708382821.5,1.5646244686893174e+20,136284750629793.6,2836749768034107.0
3419755.393646591,-200417037.12106848,-5361582.460222423,142875998843.81656,136264365283662.89,497108059651285.1,1.5646244672605543e+20,20385346130.25893,2339641708382821.5,1.5646244686893174e+20,136284750629793.6,2836749768034107.0
4190106.472375909,-200417037.12106848,-5361582.460222423,142875998843.81656,136264365283662.89,497108059651285.1,1.5646244672605543e+20,20385346130.25893,2339641708382821.5,1.5646244686893174e+20,136284750629793.6,2836749768034107.0
