t(s),Flux surface 10: solute,Flux surface 9: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
86400.0,-114695747.70977196,-816937.5089536397,23848975063.270744,1648578599234380.0,292909245177804.7,1.5646048603623257e+20,317588587506.86566,3623981510652604.0,1.564604860600829e+20,1648896187821887.5,3916890755830410.0
190080.0,-109418468.2361881,-797506.8332190104,23848950779.056686,1209407435033074.5,302713270605030.0,1.5646076401909046e+20,232984948867.77878,3745073999769276.5,1.5646076404293973e+20,1209640419981942.8,4047787270374313.5
314496.0,-103855580.95243351,-780604.5429741772,23849003810.720566,903779288658016.1,307668205339110.5,1.5646098616844825e+20,174107555381.89212,3806303627628003.0,1.564609861922973e+20,903953396213397.2,4113971832967113.5
463795.19999999995,-98083828.02121791,-765252.7062705411,23849045907.60924,687259611018336.5,309215251331590.3,1.564611628298001e+20,132396363279.22656,3825475973054695.0,1.5646116285364912e+20,687392007381616.6,4134691224386300.5
642954.24,-8674800487.889297,-9465035064.641848,121358826478832.1,262821829543873.7,649872439767526.4,1.5646122184478222e+20,15165442868.361084,80148609790775.02,1.5646134320360928e+20,262836994986742.16,730021049558302.1
857945.088,-1621685585.0111623,-6734451993.400023,121347119453532.72,110240644533608.44,151316255293325.66,1.564599400018761e+20,6361146637.126319,18661921279808.44,1.5646006134899615e+20,110247005680245.69,169978176573134.62
1115934.1056,-535162979.1078624,-5397289966.023258,121333450712380.16,85221080975873.97,65526841876134.42,1.5645839295592497e+20,4917458483.531417,8081472007601.184,1.5645851428937643e+20,85225998434357.48,73608313883735.73
1425520.9267199999,-372917849.7554315,-4531079063.824137,121317913231731.08,80761889060294.88,52393606247983.21,1.5645678791948983e+20,4660152534.576806,6461741654702.208,1.5645690923740316e+20,80766549212829.39,58855347902685.32
1797025.1120639998,-348328798.43176204,-3902087400.434572,121300311961660.25,79229140207395.45,50133530138029.51,1.5645512743170428e+20,4571709290.69543,6183004983112.309,1.5645524873201707e+20,79233711916686.34,56316535121141.766
2242830.1344767995,-341005777.6523267,-3415547453.442322,121280376986603.4,78002184565412.1,49216773355698.79,1.564533838364194e+20,4500911040.303724,6069940778419.011,1.5645350511679576e+20,78006685476452.72,55286714134117.88
2777796.161372159,-335306282.5830828,-3023568141.2280197,121257795181213.78,76753882871044.69,48410462987982.85,1.564515283616465e+20,4428881072.064842,5970498003543.767,1.5645164961944335e+20,76758311752116.62,54380960991526.71
3419755.393646591,-329568912.77006644,-2698661748.9393926,121232210262889.17,75460250539904.78,47587186845581.22,1.5644953354892696e+20,4354235418.577593,5868962826864.249,1.5644965478113686e+20,75464604775323.33,53456149672445.3
4190106.472375909,-323693620.1371077,-2423695681.053032,121203220902892.14,74130793462057.17,46742756772846.805,1.5644737211972855e+20,4277522592.24285,5764818719827.284,1.5644749332294956e+20,74135070984649.61,52507575492674.13
